id,title,level,automated_by_cis,ansible_status,task_or_tag,notes
1.1.2.6.1,Ensure separate partition exists for /var/log,2,Automated,implemented,1.1.2.6.1,Ver 1.1.2.1.1 (particion separada /var/log). Tarea de auditoria no destructiva incluida.
1.1.2.6.2,Ensure nodev option set on /var/log partition,1,Automated,implemented,1.1.2.6.2,
1.1.2.6.3,Ensure nosuid option set on /var/log partition,1,Automated,implemented,1.1.2.6.3,
1.1.2.6.4,Ensure noexec option set on /var/log partition,1,Automated,implemented,1.1.2.6.4,
1.1.2.7.1,Ensure separate partition exists for /var/log/audit,2,Automated,implemented,1.1.2.7.1,Ver 1.1.2.1.1 (particion separada /var/log/audit). Tarea de auditoria no destructiva incluida.
1.1.2.7.2,Ensure nodev option set on /var/log/audit partition,1,Automated,implemented,1.1.2.7.2,
1.1.2.7.3,Ensure nosuid option set on /var/log/audit partition,1,Automated,implemented,1.1.2.7.3,
1.1.2.7.4,Ensure noexec option set on /var/log/audit partition,1,Automated,implemented,1.1.2.7.4,
1.2.1.1,Ensure GPG keys are configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
1.2.1.2,Ensure gpgcheck is globally activated,1,Automated,implemented,1.2.1.2,
1.2.1.3,Ensure repo_gpgcheck is globally activated,2,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
1.2.1.4,Ensure package manager repositories are configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
1.2.2.1,"Ensure updates, patches, and additional security software are installed",1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
1.3.1.1,Ensure SELinux is installed,1,Automated,implemented,1.3.1.1,
1.3.1.2,Ensure SELinux is not disabled in bootloader configuration,1,Automated,implemented,1.3.1.2,
1.3.1.3,Ensure SELinux policy is configured,1,Automated,implemented,1.3.1.3,
1.3.1.4,Ensure the SELinux mode is not disabled,1,Automated,implemented,1.3.1.4,
1.3.1.5,Ensure the SELinux mode is enforcing,2,Automated,implemented,1.3.1.5,
1.3.1.6,Ensure no unconfined services exist,2,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
1.3.1.7,Ensure the MCS Translation Service (mcstrans) is not installed,1,Automated,implemented,1.3.1.7,
1.3.1.8,Ensure SETroubleshoot is not installed,1,Automated,implemented,1.3.1.8,
1.4.1,Ensure bootloader password is set,1,Automated,excluded_baseline_cliente,1.4.1,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
1.4.2,Ensure access to bootloader config is configured,1,Automated,implemented,1.4.2,
1.5.1,Ensure address space layout randomization is enabled,1,Automated,implemented,1.5.1,
1.5.2,Ensure ptrace_scope is restricted,1,Automated,implemented,1.5.2,
1.5.3,Ensure core dump backtraces are disabled,1,Automated,implemented,1.5.3,
1.5.4,Ensure core dump storage is disabled,1,Automated,implemented,1.5.4,
1.6.1,Ensure system wide crypto policy is not set to legacy,1,Automated,implemented,1.6.1,
1.6.2,Ensure system wide crypto policy is not set in sshd configuration,1,Automated,implemented,1.6.2,
1.6.3,Ensure system wide crypto policy disables sha1 hash and signature support,1,Automated,implemented,1.6.3,
1.6.4,Ensure system wide crypto policy disables macs less than 128 bits,1,Automated,implemented,1.6.4,
1.6.5,Ensure system wide crypto policy disables cbc for ssh,1,Automated,implemented,1.6.5,
1.6.6,Ensure system wide crypto policy disables chacha20- poly1305 for ssh,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
1.6.7,Ensure system wide crypto policy disables EtM for ssh,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
1.7.1,Ensure message of the day is configured properly,1,Automated,implemented,1.7.1,
1.7.2,Ensure local login warning banner is configured properly,1,Automated,implemented,1.7.2,
1.7.3,Ensure remote login warning banner is configured properly,1,Automated,implemented,1.7.3,
1.7.4,Ensure access to /etc/motd is configured,1,Automated,implemented,1.7.4,
1.7.5,Ensure access to /etc/issue is configured,1,Automated,implemented,1.7.5,
1.7.6,Ensure access to /etc/issue.net is configured,1,Automated,implemented,1.7.6,
1.8.1,Ensure GNOME Display Manager is removed,2,Automated,implemented,1.8.1,
1.8.2,Ensure GDM login banner is configured,1,Automated,implemented,1.8.2,
1.8.3,Ensure GDM disable-user-list option is enabled,1,Automated,implemented,1.8.3,
1.8.4,Ensure GDM screen locks when the user is idle,1,Automated,implemented,1.8.4,
1.8.5,Ensure GDM screen locks cannot be overridden,1,Automated,implemented,1.8.5,
1.8.6,Ensure GDM automatic mounting of removable media is disabled,1,Automated,implemented,1.8.6,
1.8.7,Ensure GDM disabling automatic mounting of removable media is not overridden,1,Automated,implemented,1.8.7,
1.8.8,Ensure GDM autorun-never is enabled,1,Automated,implemented,1.8.8,
1.8.9,Ensure GDM autorun-never is not overridden,1,Automated,implemented,1.8.9,
1.8.10,Ensure XDMCP is not enabled,1,Automated,implemented,1.8.10,
2.1.1,Ensure autofs services are not in use,1,Automated,implemented,2.1.1,
2.1.2,Ensure avahi daemon services are not in use,1,Automated,implemented,2.1.2,
2.1.3,Ensure dhcp server services are not in use,1,Automated,excluded_baseline_cliente,2.1.3,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.4,Ensure dns server services are not in use,1,Automated,excluded_baseline_cliente,2.1.4,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.5,Ensure dnsmasq services are not in use,1,Automated,implemented,2.1.5,
2.1.6,Ensure samba file server services are not in use,1,Automated,excluded_baseline_cliente,2.1.6,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.7,Ensure ftp server services are not in use,1,Automated,implemented,2.1.7,
2.1.8,Ensure message access server services are not in use,1,Automated,excluded_baseline_cliente,2.1.8,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.9,Ensure network file system services are not in use,1,Automated,excluded_baseline_cliente,2.1.9,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.10,Ensure nis server services are not in use,1,Automated,implemented,2.1.10,
2.1.11,Ensure print server services are not in use,1,Automated,excluded_baseline_cliente,2.1.11,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.12,Ensure rpcbind services are not in use,1,Automated,implemented,2.1.12,
2.1.13,Ensure rsync services are not in use,1,Automated,implemented,2.1.13,
2.1.14,Ensure snmp services are not in use,1,Automated,implemented,2.1.14,
2.1.15,Ensure telnet server services are not in use,1,Automated,implemented,2.1.15,
2.1.16,Ensure tftp server services are not in use,1,Automated,implemented,2.1.16,
2.1.17,Ensure web proxy server services are not in use,1,Automated,excluded_baseline_cliente,2.1.17,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.18,Ensure web server services are not in use,1,Automated,excluded_baseline_cliente,2.1.18,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.19,Ensure xinetd services are not in use,1,Automated,implemented,2.1.19,
2.1.20,Ensure X window server services are not in use,2,Automated,implemented,2.1.20,
2.1.21,Ensure mail transfer agents are configured for local-only mode,1,Automated,excluded_baseline_cliente,2.1.21,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.1.22,Ensure only approved services are listening on a network interface,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
2.2.1,Ensure ftp client is not installed,1,Automated,implemented,2.2.1,
2.2.2,Ensure ldap client is not installed,2,Automated,implemented,2.2.2,
2.2.3,Ensure nis client is not installed,1,Automated,implemented,2.2.3,
2.2.4,Ensure telnet client is not installed,1,Automated,implemented,2.2.4,
2.2.5,Ensure tftp client is not installed,1,Automated,implemented,2.2.5,
2.3.1,Ensure time synchronization is in use,1,Automated,implemented,2.3.1,
2.3.2,Ensure chrony is configured,1,Automated,implemented,2.3.2,
2.3.3,Ensure chrony is not run as the root user,1,Automated,implemented,2.3.3,
2.4.1.1,Ensure cron daemon is enabled and active,1,Automated,implemented,2.4.1.1,
2.4.1.2,Ensure permissions on /etc/crontab are configured,1,Automated,implemented,2.4.1.2,
2.4.1.3,Ensure permissions on /etc/cron.hourly are configured,1,Automated,implemented,2.4.1.3,
2.4.1.4,Ensure permissions on /etc/cron.daily are configured,1,Automated,implemented,2.4.1.4,
2.4.1.5,Ensure permissions on /etc/cron.weekly are configured,1,Automated,implemented,2.4.1.5,
2.4.1.6,Ensure permissions on /etc/cron.monthly are configured,1,Automated,implemented,2.4.1.6,
2.4.1.7,Ensure permissions on /etc/cron.d are configured,1,Automated,excluded_baseline_cliente,2.4.1.7,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
2.4.1.8,Ensure crontab is restricted to authorized users,1,Automated,implemented,2.4.1.8,
2.4.2.1,Ensure at is restricted to authorized users,1,Automated,implemented,2.4.2.1,
3.1.1,Ensure IPv6 status is identified,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
3.1.2,Ensure wireless interfaces are disabled,1,Automated,implemented,3.1.2,
3.1.3,Ensure bluetooth services are not in use,1,Automated,excluded_baseline_cliente,3.1.3,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
3.2.1,Ensure dccp kernel module is not available,2,Automated,implemented,3.2.1,
3.2.2,Ensure tipc kernel module is not available,2,Automated,implemented,3.2.2,
3.2.3,Ensure rds kernel module is not available,2,Automated,implemented,3.2.3,
3.2.4,Ensure sctp kernel module is not available,2,Automated,implemented,3.2.4,
3.3.1,Ensure ip forwarding is disabled,1,Automated,implemented,3.3.1,
3.3.2,Ensure packet redirect sending is disabled,1,Automated,implemented,3.3.2,
3.3.3,Ensure bogus icmp responses are ignored,1,Automated,implemented,3.3.3,
3.3.4,Ensure broadcast icmp requests are ignored,1,Automated,implemented,3.3.4,
3.3.5,Ensure icmp redirects are not accepted,1,Automated,implemented,3.3.5,
3.3.6,Ensure secure icmp redirects are not accepted,1,Automated,implemented,3.3.6,
3.3.7,Ensure reverse path filtering is enabled,1,Automated,implemented,3.3.7,
3.3.8,Ensure source routed packets are not accepted,1,Automated,implemented,3.3.8,
3.3.9,Ensure suspicious packets are logged,1,Automated,implemented,3.3.9,
3.3.10,Ensure tcp syn cookies is enabled,1,Automated,implemented,3.3.10,
3.3.11,Ensure ipv6 router advertisements are not accepted,1,Automated,implemented,3.3.11,
4.1.1,Ensure nftables is installed,1,Automated,implemented,4.1.1,
4.1.2,Ensure a single firewall configuration utility is in use,1,Automated,implemented,4.1.2,
4.2.1,Ensure firewalld drops unnecessary services and ports,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
4.2.2,Ensure firewalld loopback traffic is configured,1,Automated,excluded_baseline_cliente,4.2.2,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
4.3.1,Ensure nftables base chains exist,1,Automated,implemented,4.3.1,
4.3.2,Ensure nftables established connections are configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
4.3.3,Ensure nftables default deny firewall policy,1,Automated,implemented,4.3.3,
4.3.4,Ensure nftables loopback traffic is configured,1,Automated,implemented,4.3.4,
5.1.1,Ensure permissions on /etc/ssh/sshd_config are configured,1,Automated,excluded_baseline_cliente,5.1.1,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.1.2,Ensure permissions on SSH private host key files are configured,1,Automated,implemented,5.1.2,
5.1.3,Ensure permissions on SSH public host key files are configured,1,Automated,implemented,5.1.3,
5.1.4,Ensure sshd Ciphers are configured,1,Automated,implemented,5.1.4,
5.1.5,Ensure sshd KexAlgorithms is configured,1,Automated,implemented,5.1.5,
5.1.6,Ensure sshd MACs are configured,1,Automated,excluded_baseline_cliente,5.1.6,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.1.7,Ensure sshd access is configured,1,Automated,excluded_baseline_cliente,5.1.7,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.1.8,Ensure sshd Banner is configured,1,Automated,implemented,5.1.8,
5.1.9,Ensure sshd ClientAliveInterval and ClientAliveCountMax are configured,1,Automated,implemented,5.1.9,
5.1.10,Ensure sshd DisableForwarding is enabled,2,Automated,excluded_baseline_cliente,5.1.10,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.1.11,Ensure sshd GSSAPIAuthentication is disabled,2,Automated,excluded_baseline_cliente,5.1.11,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.1.12,Ensure sshd HostbasedAuthentication is disabled,1,Automated,implemented,5.1.12,
5.1.13,Ensure sshd IgnoreRhosts is enabled,1,Automated,implemented,5.1.13,
5.1.14,Ensure sshd LoginGraceTime is configured,1,Automated,implemented,5.1.14,
5.1.15,Ensure sshd LogLevel is configured,1,Automated,implemented,5.1.15,
5.1.16,Ensure sshd MaxAuthTries is configured,1,Automated,implemented,5.1.16,
5.1.17,Ensure sshd MaxStartups is configured,1,Automated,implemented,5.1.17,
5.1.18,Ensure sshd MaxSessions is configured,1,Automated,implemented,5.1.18,
5.1.19,Ensure sshd PermitEmptyPasswords is disabled,1,Automated,implemented,5.1.19,
5.1.20,Ensure sshd PermitRootLogin is disabled,1,Automated,implemented,5.1.20,
5.1.21,Ensure sshd PermitUserEnvironment is disabled,1,Automated,implemented,5.1.21,
5.1.22,Ensure sshd UsePAM is enabled,1,Automated,implemented,5.1.22,
5.2.1,Ensure sudo is installed,1,Automated,implemented,5.2.1,
5.2.2,Ensure sudo commands use pty,1,Automated,implemented,5.2.2,
5.2.3,Ensure sudo log file exists,1,Automated,implemented,5.2.3,
5.2.4,Ensure users must provide password for escalation,2,Automated,implemented,5.2.4,Se audita (busca) el uso de NOPASSWD en sudoers y se reporta; NO se elimina automaticamente porque puede haber cuentas de automatizacion (Ansible/AWX) que dependen de NOPASSWD intencionalmente. Aplicar remediacion manual tras revisar el hallazgo.
5.2.5,Ensure re-authentication for privilege escalation is not disabled globally,1,Automated,implemented,5.2.5,Se audita (busca) el uso de !authenticate en sudoers y se reporta; NO se elimina automaticamente por el mismo motivo que 5.2.4.
5.2.6,Ensure sudo authentication timeout is configured correctly,1,Automated,implemented,5.2.6,
5.2.7,Ensure access to the su command is restricted,1,Automated,implemented,5.2.7,
5.3.1.1,Ensure latest version of pam is installed,1,Automated,implemented,5.3.1.1,
5.3.1.2,Ensure latest version of authselect is installed,1,Automated,implemented,5.3.1.2,
5.3.1.3,Ensure latest version of libpwquality is installed,1,Automated,implemented,5.3.1.3,
5.3.2.1,Ensure active authselect profile includes pam modules,1,Automated,implemented,5.3.2.1,
5.3.2.2,Ensure pam_faillock module is enabled,1,Automated,excluded_baseline_cliente,5.3.2.2,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.3.2.3,Ensure pam_pwquality module is enabled,1,Automated,implemented,5.3.2.3,
5.3.2.4,Ensure pam_pwhistory module is enabled,1,Automated,excluded_baseline_cliente,5.3.2.4,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.3.2.5,Ensure pam_unix module is enabled,1,Automated,implemented,5.3.2.5,
5.3.3.1.1,Ensure password failed attempts lockout is configured,1,Automated,implemented,5.3.3.1.1,
5.3.3.1.2,Ensure password unlock time is configured,1,Automated,implemented,5.3.3.1.2,
5.3.3.1.3,Ensure password failed attempts lockout includes root account,2,Automated,implemented,5.3.3.1.3,
5.3.3.2.1,Ensure password number of changed characters is configured,1,Automated,implemented,5.3.3.2.1,
5.3.3.2.2,Ensure password length is configured,1,Automated,implemented,5.3.3.2.2,
5.3.3.2.3,Ensure password complexity is configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
5.3.3.2.4,Ensure password same consecutive characters is configured,1,Automated,implemented,5.3.3.2.4,
5.3.3.2.5,Ensure password maximum sequential characters is configured,1,Automated,excluded_baseline_cliente,5.3.3.2.5,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.3.3.2.6,Ensure password dictionary check is enabled,1,Automated,implemented,5.3.3.2.6,
5.3.3.2.7,Ensure password quality is enforced for the root user,1,Automated,implemented,5.3.3.2.7,
5.3.3.3.1,Ensure password history remember is configured,1,Automated,implemented,5.3.3.3.1,
5.3.3.3.2,Ensure password history is enforced for the root user,1,Automated,excluded_baseline_cliente,5.3.3.3.2,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.3.3.3.3,Ensure pam_pwhistory includes use_authtok,1,Automated,excluded_baseline_cliente,5.3.3.3.3,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.3.3.4.1,Ensure pam_unix does not include nullok,1,Automated,excluded_baseline_cliente,5.3.3.4.1,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.3.3.4.2,Ensure pam_unix does not include remember,1,Automated,implemented,5.3.3.4.2,
5.3.3.4.3,Ensure pam_unix includes a strong password hashing algorithm,1,Automated,implemented,5.3.3.4.3,
5.3.3.4.4,Ensure pam_unix includes use_authtok,1,Automated,implemented,5.3.3.4.4,
5.4.1.1,Ensure password expiration is configured,1,Automated,implemented,5.4.1.1,
5.4.1.2,Ensure minimum password days is configured,2,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
5.4.1.3,Ensure password expiration warning days is configured,1,Automated,implemented,5.4.1.3,
5.4.1.4,Ensure strong password hashing algorithm is configured,1,Automated,implemented,5.4.1.4,
5.4.1.5,Ensure inactive password lock is configured,1,Automated,excluded_baseline_cliente,5.4.1.5,Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false).
5.4.1.6,Ensure all users last password change date is in the past,1,Automated,implemented,5.4.1.6,Se implementa como tarea de auditoria (chage -l) que reporta usuarios con fecha de ultimo cambio de password en el futuro; no se fuerza cambio de password automaticamente.
5.4.2.1,Ensure root is the only UID 0 account,1,Automated,implemented,5.4.2.1,Auditoria: falla si existe una cuenta distinta de root con UID 0. No se eliminan/renombran cuentas automaticamente (decision de negocio).
5.4.2.2,Ensure root is the only GID 0 account,1,Automated,implemented,5.4.2.2,Auditoria: falla si existe una cuenta distinta de root con GID 0. No se modifican cuentas automaticamente.
5.4.2.3,Ensure group root is the only GID 0 group,1,Automated,implemented,5.4.2.3,"Auditoria: falla si existe un grupo distinto de ""root"" con GID 0. No se modifican grupos automaticamente."
5.4.2.4,Ensure root account access is controlled,1,Automated,implemented,5.4.2.4,Agregado 2026-08-07: exigido por Linea_Base_Hardening_CIS_RHEL9_Final.xlsx (linea base del banco). Se implementa como verificacion/reporte (passwd -S root) no destructiva; no se fija password ni se bloquea la cuenta automaticamente por tratarse de una decision de politica de acceso de emergencia (break-glass) del banco.
5.4.2.5,Ensure root path integrity,1,Automated,excluded_baseline_cliente,5.4.2.5,"Integridad de PATH de root: tarea de auditoria (falla con detalle) en lugar de modificar automaticamente el PATH, ya que la causa raiz puede estar en distintos archivos de perfil segun el sitio. | Excluido: no aparece en Linea_Base_Hardening_CIS_RHEL9_Final.xlsx entregada por el banco (2026-08-07). Codigo Ansible se mantiene pero deshabilitado por defecto (toggle=false)."
5.4.2.6,Ensure root user umask is configured,1,Automated,implemented,5.4.2.6,
5.4.2.7,Ensure system accounts do not have a valid login shell,1,Automated,implemented,5.4.2.7,"Se fija shell nologin a cuentas de sistema (UID < UID_MIN) que no sean root y no esten en la lista blanca de servicios (sync/shutdown/halt/operator etc.), remediacion activa pero acotada a cuentas de sistema."
5.4.2.8,Ensure accounts without a valid login shell are locked,1,Automated,implemented,5.4.2.8,Se bloquean (usermod -L) las cuentas de sistema con shell nologin/false que aun no esten bloqueadas; se excluye explicitamente la lista blanca definida en rhel9cis_system_accounts_whitelist.
5.4.3.1,Ensure nologin is not listed in /etc/shells,2,Automated,implemented,5.4.3.1,
5.4.3.2,Ensure default user shell timeout is configured,1,Automated,implemented,5.4.3.2,
5.4.3.3,Ensure default user umask is configured,1,Automated,implemented,5.4.3.3,
6.1.1,Ensure AIDE is installed,1,Automated,implemented,6.1.1,
6.1.2,Ensure filesystem integrity is regularly checked,1,Automated,implemented,6.1.2,
6.1.3,Ensure cryptographic mechanisms are used to protect the integrity of audit tools,1,Automated,implemented,6.1.3,
6.2.1.1,Ensure journald service is enabled and active,1,Automated,implemented,6.2.1.1,
6.2.1.2,Ensure journald log file access is configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
6.2.1.3,Ensure journald log file rotation is configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
6.2.1.4,Ensure only one logging system is in use,1,Automated,implemented,6.2.1.4,
6.2.2.1.1,Ensure systemd-journal-remote is installed,1,Automated,implemented,6.2.2.1.1,
6.2.2.1.2,Ensure systemd-journal-upload authentication is configured,1,Manual,manual,,Marcado como Manual en el CIS Benchmark (politica organizacional / revision humana / seguridad fisica). No se automatiza.
6.2.2.1.3,Ensure systemd-journal-upload is enabled and active,1,Automated,implemented,6.2.2.1.3,
6.2.2.1.4,Ensure systemd-journal-remote service is not in use,1,Automated,implemented,6.2.2.1.4,
6.2.2.2,Ensure journald ForwardToSyslog is disabled,1,Automated,implemented,6.2.2.2,
6.2.2.3,Ensure journald Compress is configured,1,Automated,implemented,6.2.2.3,
6.2.2.4,Ensure journald Storage is configured,1,Automated,implemented,6.2.2.4,
6.2.3.1,Ensure rsyslog is installed,1,Automated,implemented,6.2.3.1,
6.2.3.2,Ensure rsyslog service is enabled and active,1,Automated,implemented,6.2.3.2,
